OrderID,CustomerID,OrderDate,TotalAmount,OrderStatus,PaymentMethod,ShippingAddressID
1,3145,2024-12-09 17:41:33.681146,426.33,Pending,Bank Transfer,6563
2,1154,2024-03-13 17:41:33.681169,368.1,Shipped,PayPal,9544
3,3268,2024-07-29 17:41:33.681176,1017.44,Shipped,Bank Transfer,3463
4,2904,2024-11-05 17:41:33.681182,1457.48,Delivered,PayPal,7181
5,3186,2024-09-26 17:41:33.681188,1751.86,Pending,Credit Card,7433
6,7556,2024-10-30 17:41:33.681194,145.75,Cancelled,Credit Card,5100
7,8337,2024-03-21 17:41:33.681199,250.69,Shipped,PayPal,7457
8,9589,2024-10-28 17:41:33.681206,1282.6,Shipped,PayPal,2850
9,1777,2025-02-11 17:41:33.681213,595.15,Shipped,Credit Card,7426
10,9283,2024-09-06 17:41:33.681220,366.56,Pending,Bank Transfer,5208
11,9406,2025-01-12 17:41:33.681229,95.1,Delivered,Credit Card,1699
12,1169,2024-05-22 17:41:33.681238,255.5,Delivered,Bank Transfer,7209
13,6384,2024-09-10 17:41:33.681248,329.21,Delivered,PayPal,3485
14,6358,2024-07-02 17:41:33.681258,1679.69,Shipped,Credit Card,1125
15,4568,2024-08-27 17:41:33.681267,104.26,Delivered,Bank Transfer,2150
16,179,2024-06-15 17:41:33.681273,529.49,Delivered,PayPal,1633
17,5976,2024-07-06 17:41:33.681279,840.34,Delivered,Bank Transfer,6440
18,220,2025-01-01 17:41:33.681285,1675.25,Delivered,PayPal,8888
19,3546,2024-08-23 17:41:33.681291,1526.58,Shipped,PayPal,6022
20,6725,2024-10-10 17:41:33.681296,21.2,Delivered,Credit Card,3998
21,7075,2024-09-12 17:41:33.681302,182.99,Pending,Credit Card,3437
22,1384,2024-03-28 17:41:33.681322,266.66,Pending,PayPal,1344
23,1080,2025-02-17 17:41:33.681328,368.59,Pending,PayPal,3134
24,1592,2024-08-26 17:41:33.681334,851.14,Cancelled,PayPal,2773
25,6050,2024-10-12 17:41:33.681339,1711.27,Shipped,Bank Transfer,6665
26,346,2024-06-12 17:41:33.681345,148.24,Pending,PayPal,5663
27,5700,2024-07-27 17:41:33.681351,69.22,Pending,Bank Transfer,5795
28,9911,2024-04-06 17:41:33.681356,1990.22,Cancelled,PayPal,4028
29,7819,2024-10-06 17:41:33.681362,333.25,Pending,Bank Transfer,8116
30,3399,2024-06-05 17:41:33.681367,164.5,Delivered,Credit Card,5497
31,8460,2024-11-29 17:41:33.681373,1107.63,Delivered,PayPal,5679
32,8035,2024-11-03 17:41:33.681378,648.24,Pending,PayPal,1274
33,5958,2024-09-08 17:41:33.681384,635.8,Shipped,PayPal,8614
34,8524,2024-09-04 17:41:33.681390,418.64,Cancelled,Credit Card,3897
35,8643,2024-08-16 17:41:33.681395,729.73,Pending,PayPal,2088
36,947,2024-08-30 17:41:33.681401,735.16,Delivered,Credit Card,7442
37,5636,2024-08-27 17:41:33.681406,102.23,Shipped,Credit Card,1693
38,7010,2024-11-30 17:41:33.681412,1969.96,Pending,Credit Card,5826
39,5722,2024-10-22 17:41:33.681417,303.07,Pending,Bank Transfer,395
40,2999,2024-11-27 17:41:33.681423,249.86,Pending,Bank Transfer,7204
41,4202,2024-09-10 17:41:33.681428,383.64,Shipped,PayPal,7526
42,7090,2024-10-16 17:41:33.681437,1340.1,Cancelled,Credit Card,6165
43,6946,2024-03-01 17:41:33.681446,1897.73,Shipped,PayPal,4398
44,3755,2024-09-11 17:41:33.681455,638.46,Pending,PayPal,3564
45,9219,2024-03-17 17:41:33.681464,1533.05,Shipped,Bank Transfer,398
46,3370,2024-08-26 17:41:33.681474,1565.35,Pending,Bank Transfer,8421
47,852,2025-02-24 17:41:33.681481,1739.24,Cancelled,Credit Card,3323
48,8626,2024-04-26 17:41:33.681486,55.88,Cancelled,PayPal,3662
49,1807,2024-10-05 17:41:33.681492,1988.31,Delivered,Bank Transfer,3946
50,8655,2024-10-31 17:41:33.681498,1559.93,Cancelled,Bank Transfer,8095
51,2362,2024-12-15 17:41:33.681503,579.43,Pending,Credit Card,1037
52,8026,2024-11-04 17:41:33.681509,741.7,Pending,Bank Transfer,7567
53,5392,2024-08-01 17:41:33.681514,903.32,Cancelled,Bank Transfer,4949
54,5153,2024-03-12 17:41:33.681520,386.42,Shipped,Bank Transfer,2825
55,5315,2024-05-22 17:41:33.681526,1329.81,Shipped,Bank Transfer,5745
56,5604,2024-05-26 17:41:33.681531,158.73,Delivered,PayPal,1831
57,7555,2025-01-10 17:41:33.681537,517.88,Delivered,Bank Transfer,3964
58,3094,2024-03-15 17:41:33.681543,909.78,Cancelled,Credit Card,3361
59,6869,2024-12-24 17:41:33.681548,1923.12,Cancelled,Bank Transfer,7754
60,4022,2024-12-29 17:41:33.681554,113.45,Cancelled,Bank Transfer,5664
61,397,2024-12-18 17:41:33.681559,1323.09,Pending,PayPal,4053
62,9620,2024-10-29 17:41:33.681565,687.06,Cancelled,PayPal,362
63,4612,2024-05-23 17:41:33.681570,307.44,Shipped,PayPal,2966
64,2783,2024-10-14 17:41:33.681576,1553.6,Cancelled,PayPal,4648
65,1948,2024-07-24 17:41:33.681581,200.95,Shipped,Credit Card,5092
66,6477,2024-07-27 17:41:33.681587,1758.7,Pending,Credit Card,1812
67,373,2024-09-15 17:41:33.681593,520.88,Pending,Bank Transfer,9704
68,402,2024-09-30 17:41:33.681599,1003.05,Delivered,PayPal,1793
69,274,2024-03-05 17:41:33.681604,243.01,Shipped,PayPal,2190
70,2504,2025-01-30 17:41:33.681610,1608.89,Cancelled,Bank Transfer,3725
71,2767,2024-08-01 17:41:33.681615,423.14,Shipped,Bank Transfer,5218
72,9142,2024-11-17 17:41:33.681621,444.24,Cancelled,Bank Transfer,5085
73,5131,2024-10-23 17:41:33.681626,319.07,Delivered,Bank Transfer,4035
74,7558,2024-12-20 17:41:33.681632,1464.34,Shipped,Credit Card,3012
75,3633,2025-02-06 17:41:33.681637,909.69,Shipped,Credit Card,1883
